genome,Bioproject,group_name,full_name,code,completion,contamination,size_bp,contigs,clade,Reference
Hirt_18-Q3-R61-65_MAXAC.059,PRJNA629478,Sulfuritalea,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__,Hirt_18-Q3-R61-65_MAXAC.059,93.96,3.18,4377445,56,NA,Singleton et al. 2021 Nature Comms
Hjor_18-Q3-R7-51_MAXAC.006,PRJNA629478,Sulfuritalea,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__,Hjor_18-Q3-R7-51_MAXAC.006,96.78,1.37,4498252,19,NA,Singleton et al. 2021 Nature Comms
POS2015-07-16-bin.49,PRJNA704939,Sulfuritalea,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__,SULF1,98.26,1.09,4409354,88,NA,McDaniel et al. 2021
coassembly-bin.169,PRJNA704939,Thauera,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__,THAU1,98.65,1.41,4111698,56,NA,McDaniel et al. 2021
Aved_18-Q3-R54-62_BAT3C.309,PRJNA629478,Zoogloea,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,Aved_18-Q3-R54-62_BAT3C.309,98.96,1.3,4987483,10,NA,Singleton et al. 2021 Nature Comms
POS2015-08-06-bin.9,PRJNA704939,Zoogloea,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,ZOOG2,95.16,1.8,4522276,165,NA,McDaniel et al. 2021
Vibo_18-Q3-R45-57_MAXAC.072,PRJNA629478,Zoogloea,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,Vibo_18-Q3-R45-57_MAXAC.072,92,1.45,4052277,66,NA,Singleton et al. 2021 Nature Comms
GCA_900089955.1,PRJEB13978,Accumulibacter,Candidatus Accumulibacter aalborgensis,AALB,99.52,0.06,4707069,181,unknown,Albertsen et al. 2016 Frontiers Micro.
GCA_013823155.1,PRJNA323575,,Candidatus Accumulibacter phosphatis DS2_011,DS2_011,98.37,0,3761345,61,unknown,Zhang et al. 2017 Frontiers Micro.
GCA_001897745.1,PRJNA279279,,Candidatus Accumulibacter sp 66-26,66-26,99.76,0.03,4385439,51,unknown,Kantor et al. 2015 Env. Micro
